NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Aaron Brooks,Chi,PG,31,69,16.1,33.4,23,0.141,64,0.766,285,4.130434783,0.428,1.767826087,185,2.68115942,0.357,0.957173913,6.811594203,2.725,0.400053191,0.493,7.1,1.5,4.8,2.6,26,0.43,0.14,7.5,0.710492754,16.74957532,12.56218149,0.47031383
Aaron Gordon,Orl,PF,20,78,23.9,49.8,17.3,0.09,193,0.668,437,5.602564103,0.531,2.974961538,142,1.820512821,0.296,0.538871795,7.423076923,3.513833333,0.473366149,0.541,9.2,6.5,15.1,1.6,10.3,0.76,0.71,7.7,1.652871795,19.78121138,14.83590853,0.509663212
Adreian Payne,Min,PF,24,52,9.3,19.5,17.9,0.186,26,0.654,114,2.192307692,0.386,0.846230769,32,0.615384615,0.281,0.172923077,2.807692308,1.019153846,0.362986301,0.419,2.5,2.2,13.4,0.6,8.9,0.31,0.21,6.4,0.327,10.53321573,7.899911799,0.393780822
Al Horford,Atl,C,29,82,32.1,66.9,20.6,0.088,129,0.798,792,9.658536585,0.557,5.379804878,256,3.12195122,0.344,1.07395122,12.7804878,6.453756098,0.504969466,0.565,15.2,7.3,12.4,3.2,16.8,0.83,1.49,8.8,1.255390244,23.60706974,17.7053023,0.546984733
Al Jefferson,Cha,C,31,47,23.3,48.6,24.2,0.058,111,0.649,505,10.74468085,0.485,5.211170213,0,0,0,0,10.74468085,5.211170213,0.485,0.507,12,6.4,15,1.5,11.8,0.64,0.87,8.4,1.532744681,22.1226865,16.59201487,0.485
Alan Anderson,Was,SG,33,13,14.8,30.8,15.4,0.03,15,0.733,22,1.692307692,0.409,0.692153846,37,2.846153846,0.324,0.922153846,4.538461538,1.614307692,0.355694915,0.495,5,2.1,7.9,1.1,10.3,0.31,0.08,6.1,0.845769231,11.81524413,8.861433097,0.457288136
Alan Williams,Pho,PF,23,10,6.8,14.2,22.6,0.166,14,0.643,24,2.4,0.417,1.0008,0,0,0,0,2.4,1.0008,0.417,0.481,2.9,3.8,30.3,0.5,11.7,0.4,0.5,10.4,0.9002,25.34429834,19.00822376,0.417
Alec Burks,Uta,SG,24,31,25.7,53.6,25.9,0.114,141,0.752,255,8.225806452,0.412,3.389032258,79,2.548387097,0.405,1.032096774,10.77419355,4.421129032,0.410344311,0.52,13.3,3.5,8,2,13.9,0.58,0.13,7.1,3.420387097,18.3234134,13.74256005,0.458241018
Alex Len,Pho,C,22,78,23.3,48.6,20.4,0.166,239,0.728,617,7.91025641,0.426,3.369769231,7,0.08974359,0.143,0.012833333,8,3.382602564,0.422825321,0.482,9,7.6,17.7,1.2,8.5,0.49,0.79,7.5,2.230666667,18.57439964,13.93079973,0.423627404
Alex Stepheson,Mem,PF,28,4,15.2,31.6,22.5,0,10,0.4,26,6.5,0.308,2.002,0,0,0,0,6.5,2.002,0.308,0.329,5,6.5,24.5,0.5,5.2,0.25,0.75,6.7,1,12.06917189,9.051878915,0.308
Alexis Ajinca,Nor,C,27,59,14.6,30.4,20.4,0.136,62,0.839,314,5.322033898,0.478,2.543932203,1,0.016949153,0,0,5.338983051,2.543932203,0.47648254,0.514,6,4.6,17.3,0.5,5.8,0.32,0.61,6.6,0.881661017,18.72847582,14.04635686,0.47648254
Al-Farouq Aminu,Por,SF,25,82,28.5,59.5,16.9,0.132,156,0.737,370,4.512195122,0.468,2.111707317,349,4.256097561,0.361,1.53645122,8.768292683,3.648158537,0.416062587,0.533,10.2,6.1,11.5,1.7,8.8,0.88,0.63,6.6,1.402097561,16.86919498,12.65189623,0.503676634
Allen Crabbe,Por,SG,23,81,26,54.1,16.4,0.081,113,0.867,393,4.851851852,0.506,2.455037037,285,3.518518519,0.393,1.382777778,8.37037037,3.837814815,0.4585,0.572,10.3,2.7,5.6,1.2,7.2,0.78,0.2,5,1.209518519,15.10936363,11.33202272,0.541099558
Alonzo Gee,Nor,SF,28,73,22.4,46.6,9.2,0.163,66,0.667,193,2.643835616,0.591,1.562506849,61,0.835616438,0.279,0.233136986,3.479452055,1.795643836,0.516070866,0.571,4.4,3.4,8.3,1,6.2,0.86,0.18,4.4,0.603041096,11.20028458,8.400213434,0.549572835
Amar’e Stoudemire,Mia,C,33,52,14.7,30.5,17.8,0.158,67,0.746,221,4.25,0.566,2.4055,0,0,0,0,4.25,2.4055,0.566,0.599,5.8,4.3,16.5,0.5,5.6,0.37,0.79,6.3,0.961192308,20.56249156,15.42186867,0.566
Amir Johnson,Bos,PF,28,79,22.8,47.5,13.6,0.164,121,0.57,383,4.848101266,0.624,3.02521519,43,0.544303797,0.233,0.126822785,5.392405063,3.152037975,0.584532864,0.602,7.3,6.4,14.9,1.7,11.4,0.66,1.05,7.5,0.873037975,20.24666792,15.18500094,0.596292254
Anderson Varejao,Cle,C,33,31,10,20.8,14.8,0.158,21,0.762,75,2.419354839,0.427,1.033064516,1,0.032258065,0,0,2.451612903,1.033064516,0.421381579,0.469,2.6,2.9,16.6,0.6,9.3,0.35,0.16,6.6,0.516193548,12.98039589,9.735296915,0.421381579
Anderson Varejao,Gol,C,33,22,8.4,17.6,15.5,0.09,29,0.552,48,2.181818182,0.438,0.955636364,0,0,0,0,2.181818182,0.955636364,0.438,0.477,2.6,2.3,14.5,0.7,10.6,0.23,0.23,7.7,0.727636364,14.09813571,10.57360178,0.438
Andre Drummond,Det,C,22,81,32.9,68.6,24.1,0.105,586,0.355,1054,13.01234568,0.522,6.792444444,6,0.074074074,0.333,0.024666667,13.08641975,6.817111111,0.520930189,0.499,16.2,14.8,24.5,0.8,4.4,1.47,1.38,7,2.568271605,25.12378193,18.84283645,0.521872642
