NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
Precious Achiuwa,Mia,F,21.66,61.00,12.10,25.20,19.50,13.50,110.00,1.80,0.92,0.51,227.00,3.72,2.03,0.55,1.00,0.02,0.00,0.00,3.74,2.03,0.54,0.55,5.00,3.40,16.10,0.50,6.10,0.33,0.46,0.70,6.70,106.80,99.70,15.77,11.83
Jaylen Adams,Mil,G,25.03,7.00,2.60,5.40,18.50,0.00,0.00,0.00,0.00,0.00,6.00,0.86,0.14,0.17,2.00,0.29,0.00,0.00,1.14,0.14,0.13,0.13,0.30,0.40,8.70,0.30,12.60,0.00,0.00,0.00,5.10,,,-15.95,-11.96
Steven Adams,Nor,C,27.83,58.00,27.70,57.60,11.70,17.70,135.00,2.33,1.03,0.44,305.00,5.26,3.26,0.62,3.00,0.05,0.00,0.00,5.31,3.26,0.61,0.60,7.60,8.90,17.40,1.90,9.10,0.93,0.66,1.36,7.30,119.70,107.80,16.50,12.38
Bam Adebayo,Mia,C-F,23.83,64.00,33.50,69.70,23.70,15.00,354.00,5.53,4.42,0.80,792.00,12.38,7.09,0.57,8.00,0.13,0.03,0.25,12.50,7.12,0.57,0.63,18.70,9.00,15.30,5.40,26.90,1.17,1.03,2.64,11.60,121.70,105.00,27.00,20.25
LaMarcus Aldridge,San,C-F,35.83,21.00,25.90,54.00,22.70,7.00,37.00,1.76,1.48,0.84,173.00,8.24,4.19,0.51,75.00,3.57,1.29,0.36,11.81,5.48,0.52,0.55,13.70,4.50,9.20,1.70,10.20,0.38,0.86,0.95,7.30,107.30,110.00,18.60,13.95
LaMarcus Aldridge,Bro,C-F,35.83,5.00,26.00,54.30,19.90,11.80,10.00,2.00,2.00,1.00,43.00,8.60,4.20,0.49,5.00,1.00,0.80,0.80,9.60,5.00,0.56,0.61,12.80,4.80,10.20,2.60,14.30,0.60,2.20,1.40,8.30,116.40,107.40,22.74,17.06
Ty-Shon Alexander,Pho,G,22.84,15.00,3.20,6.60,14.90,18.90,2.00,0.13,0.07,0.50,3.00,0.20,0.07,0.33,9.00,0.60,0.13,0.22,0.80,0.20,0.33,0.35,0.60,0.70,11.90,0.40,15.20,0.00,0.07,0.20,6.90,,,-3.15,-2.36
Nickeil Alexander-Walker,Nor,G,22.70,46.00,21.90,45.60,23.20,12.40,66.00,1.43,1.04,0.73,239.00,5.20,2.52,0.49,219.00,4.76,1.65,0.35,9.96,4.17,0.50,0.52,11.00,3.10,7.80,2.20,14.70,1.02,0.48,1.50,7.70,100.50,106.50,16.59,12.44
Grayson Allen,Mem,G,25.61,50.00,25.20,52.50,16.80,9.60,91.00,1.82,1.58,0.87,140.00,2.80,1.32,0.47,274.00,5.48,2.14,0.39,8.28,3.46,0.55,0.59,10.60,3.20,6.70,2.20,11.50,0.92,0.16,0.96,6.70,115.30,109.90,16.15,12.11
Jarrett Allen,Bro,C,23.07,12.00,26.60,55.50,15.50,19.30,61.00,5.08,3.83,0.75,65.00,5.42,3.67,0.68,0.00,0.00,0.00,0.00,5.42,3.67,0.68,0.73,11.20,10.40,21.60,1.70,8.30,0.58,1.58,1.83,8.80,134.40,106.60,24.61,18.45
Jarrett Allen,Cle,C,23.07,51.00,30.30,63.10,16.80,13.10,229.00,4.49,3.10,0.69,398.00,7.80,4.86,0.62,19.00,0.37,0.12,0.32,8.18,4.98,0.62,0.65,13.20,9.90,18.30,1.70,8.80,0.47,1.41,1.53,8.00,124.40,111.20,22.17,16.63
Al-Farouq Aminu,Orl,F,30.65,17.00,21.60,44.90,14.30,20.60,17.00,1.00,0.82,0.82,58.00,3.41,1.71,0.50,31.00,1.82,0.41,0.23,5.24,2.12,0.44,0.48,5.50,5.40,12.90,1.70,11.40,1.00,0.53,1.47,6.80,93.00,108.50,11.95,8.96
Al-Farouq Aminu,Chi,F,30.65,6.00,11.20,23.40,9.80,19.70,5.00,0.83,0.67,0.80,4.00,0.67,0.17,0.25,6.00,1.00,0.17,0.17,1.67,0.33,0.25,0.37,1.50,3.20,15.60,0.30,3.50,0.33,0.00,0.50,4.00,77.00,101.90,4.66,3.50
Kyle Anderson,Mem,F-G,27.66,69.00,27.40,57.00,18.50,10.40,184.00,2.67,2.09,0.78,397.00,5.75,3.10,0.54,261.00,3.78,1.36,0.36,9.54,4.46,0.54,0.58,12.40,5.70,11.10,3.60,18.30,1.22,0.83,1.25,9.30,117.20,106.70,21.58,16.19
Giannis Antetokounmpo,Mil,F,26.44,61.00,33.00,68.70,32.50,13.20,581.00,9.52,6.52,0.69,879.00,14.41,9.16,0.64,221.00,3.62,1.10,0.30,18.03,10.26,0.60,0.63,28.10,11.00,17.50,5.90,28.70,1.18,1.21,3.39,14.80,121.10,102.20,37.15,27.86
Kostas Antetokounmpo,Lal,F,23.49,15.00,3.70,7.80,20.80,41.20,13.00,0.87,0.40,0.46,10.00,0.67,0.20,0.30,0.00,0.00,0.00,0.00,0.67,0.20,0.30,0.38,0.80,1.30,19.10,0.10,2.30,0.13,0.27,0.73,5.10,,,-3.98,-2.99
