2010-2011 NBA REGULAR SEASON ADVANCED STATS,,,,,,,,,,,,,,,,,,,,
Rank,Team,Conf-Div,GP,PPG,OPPG,PDIFF,PACE,OEFF,DEFF,EDIFF,SOS,SAR,CONS,A4F,WINS,LOSS,WIN%,pWIN%,eWIN%,ACH
,ALLAtlantaBostonCharlotteChicagoClevelandDallasDenverDetroitEast AverageGolden StateHoustonIndianaLA ClippersLA LakersMemphisMiamiMilwaukeeMinnesotaNBA AverageNew JerseyNew OrleansNew YorkOklahoma CityOrlandoPhiladelphiaPhoenixPortlandSacramentoSan AntonioTorontoUtahWashingtonWest Average,ALLE-ATE-CTE-SENBAW-NWW-PCW-SW,,,,,,,,,,,,,,,,,,
,East Average,NBA,82,97.7,98.4,-0.7,91.5,106,106.8,-0.8,-0.173,-0.973,13.4,-0.002,38.6,43.4,0.471,,,
,West Average,NBA,82,101.4,100.7,0.7,92.7,108.6,107.7,0.9,0.129,1.002,13.1,0.001,43.4,38.6,0.529,,,
,NBA Average,NBA,82,99.6,99.6,0,92.1,107.3,107.3,0,0,0,13.3,0,41,41,0.5,,,
,Atlanta,E-SE,82,95,95.8,-0.8,89.3,106.1,107.1,-1,-0.67,-1.67,15.7,0.018,44,38,0.537,0.474,0.475,0.062
,Boston,E-AT,82,96.5,91.1,5.4,90.3,106.3,100.4,5.9,-0.51,5.39,12.8,0.062,56,26,0.683,0.678,0.678,0.005
,Charlotte,E-SE,82,93.3,97.3,-4,89.6,103.4,107.9,-4.5,-0.34,-4.84,13.1,-0.012,34,48,0.415,0.368,0.366,0.049
,Chicago,E-CT,82,98.6,91.3,7.3,90.3,108.4,100.3,8.1,-0.49,7.61,13.2,0.071,62,20,0.756,0.74,0.73,0.026
,Cleveland,E-CT,82,95.5,104.5,-9,93,102.2,111.8,-9.6,0.02,-9.58,13.2,-0.078,19,63,0.232,0.204,0.234,-0.002
,Dallas,W-SW,82,100.2,96,4.2,91.3,109.7,105,4.7,0.07,4.77,11.2,0.061,57,25,0.695,0.638,0.663,0.032
,Denver,W-NW,82,107.5,102.7,4.8,95.5,112.3,107.3,5,-0.16,4.84,14,0.041,50,32,0.61,0.658,0.64,-0.03
,Detroit,E-CT,82,97,100.6,-3.6,89.2,107.7,111.7,-4,-0.14,-4.14,12.8,-0.068,30,52,0.366,0.381,0.377,-0.011
,Golden State,W-PC,82,103.4,105.7,-2.3,94.8,108.2,110.7,-2.5,-0.02,-2.52,14.2,-0.024,36,46,0.439,0.424,0.43,0.009
,Houston,W-SW,82,105.9,103.7,2.2,94.2,111.3,109,2.3,-0.39,1.91,11.4,0.003,43,39,0.524,0.572,0.58,-0.056
,Indiana,E-CT,82,99.8,100.9,-1.1,94.7,104.8,106,-1.2,-0.43,-1.63,14.4,0.015,37,45,0.451,0.464,0.467,-0.016
