NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,VI,BPG,FTM,PER_n,PER,eFG%
A.J. Price,Was,PG,26,57,22.2,45.7,18.2,0.127,62,0.79,213,3.736842105,0.427,1.595631579,200,3.50877193,0.35,1.228070175,7.245614035,2.823701754,0.389711864,0.501,7.7,2,5,3.6,26.7,0.05,6.9,0.58,0.859298246,14.79046383,12.28938341,0.474457627
Aaron Brooks,Sac,PG,28,46,20.7,42.5,18.2,0.162,52,0.769,176,3.826086957,0.517,1.978086957,127,2.760869565,0.378,1.043608696,6.586956522,3.021695652,0.458739274,0.562,8,1.7,4.6,2.3,18,0.15,6.1,0.63,0.869304348,15.67732133,13.02627253,0.537957096
Aaron Gray,Tor,C,28,42,12,24.3,13.4,0.248,44,0.523,90,2.142857143,0.533,1.142142857,0,0,0,0,2.142857143,1.142142857,0.533,0.544,2.8,3.2,15.7,0.8,10.1,0.12,6.4,0.17,0.547904762,12.65594824,10.51581628,0.533
Al Horford,Atl,C,26,74,37,76.4,21.9,0.113,208,0.644,1054,14.24324324,0.544,7.748324324,6,0.081081081,0.5,0.040540541,14.32432432,7.788864865,0.543750943,0.56,17.4,10.2,15.8,3.2,15.5,1.05,9,1.05,1.810162162,23.86504417,19.82944425,0.545166038
Al Jefferson,Uta,C,28,78,32.5,67.1,25.7,0.073,217,0.77,1219,15.62820513,0.499,7.798474359,17,0.217948718,0.118,0.025717949,15.84615385,7.824192308,0.493759709,0.522,17.8,9.2,16.6,2.1,12.3,1.14,8.6,1.03,2.142179487,24.40555986,20.27855826,0.494571197
Alan Anderson,Tor,SG,30,65,22.8,46.6,23.8,0.105,147,0.857,331,5.092307692,0.426,2.169323077,285,4.384615385,0.333,1.460076923,9.476923077,3.6294,0.382972403,0.509,10.7,2.3,5.9,1.6,11.9,0.11,6,0.74,1.938138462,15.30789457,12.71931615,0.460005682
Alec Burks,Uta,SG,21,64,17.3,35.6,21.2,0.143,129,0.713,295,4.609375,0.437,2.014296875,92,1.4375,0.359,0.5160625,6.046875,2.530359375,0.418457364,0.506,7,2.3,7.7,1.4,13.4,0.2,6.5,0.55,1.437140625,14.97673612,12.44415689,0.461129199
Alexey Shved,Min,PG,24,77,23.7,49.2,20.8,0.173,151,0.722,347,4.506493506,0.435,1.960324675,288,3.74025974,0.295,1.103376623,8.246753247,3.063701299,0.371503937,0.475,8.6,2.3,5.5,3.7,25.2,0.35,7.1,0.7,1.41587013,15.33865338,12.74487363,0.438401575
Al Harrington,Orl,PF,33,10,11.7,23.5,25.5,0.106,4,0.75,27,2.7,0.444,1.1988,30,3,0.267,0.801,5.7,1.9998,0.350842105,0.434,5.1,2.7,13,1,13.9,0.1,8.2,0.4,0.3,13.81144656,11.47591882,0.421105263
Al-Farouq Aminu,Nor,SF,22,76,27,55.9,14.8,0.178,137,0.737,455,5.986842105,0.486,2.909605263,19,0.25,0.211,0.05275,6.236842105,2.962355263,0.474976793,0.519,7.3,7.7,17,1.3,7.8,0.67,6.2,1.21,1.328539474,16.5901673,13.78475544,0.479205696
Alonzo Gee,Cle,SF,25,82,30.8,64,17.1,0.137,205,0.795,525,6.402439024,0.45,2.881097561,219,2.670731707,0.315,0.841280488,9.073170732,3.722378049,0.410262097,0.505,10.3,3.9,7.3,1.6,8.3,0.35,5.2,1.3,1.9875,13.42863507,11.15784109,0.456622984
Amar’e Stoudemire,Nyk,PF,30,29,23.3,48.2,25.9,0.134,130,0.808,267,9.206896552,0.577,5.31237931,0,0,0,0,9.206896552,5.31237931,0.577,0.637,14.2,5,12.6,0.4,3.6,0.72,5.2,0.34,3.622068966,25.69837956,21.35276101,0.577
Amir Johnson,Tor,PF,25,81,28.5,58.5,16.2,0.145,187,0.727,593,7.320987654,0.558,4.085111111,13,0.160493827,0.385,0.061790123,7.481481481,4.146901235,0.554288779,0.591,10,7.5,15.7,1.5,8.8,1.36,6.8,1,1.678382716,20.7928873,17.2767918,0.558418317
Anderson Varejao,Cle,C,30,25,35.8,74.1,18.8,0.116,102,0.755,284,11.36,0.486,5.52096,5,0.2,0,0,11.56,5.52096,0.477591696,0.529,14.1,14.4,23.3,3.4,15.5,0.56,9.9,1.48,3.0804,23.94059468,19.8922191,0.477591696
Andray Blatche,Bro,PF,26,82,18.8,38.8,26.7,0.138,216,0.685,654,7.975609756,0.524,4.179219512,22,0.268292683,0.136,0.036487805,8.243902439,4.215707317,0.511372781,0.547,10.3,5.1,16,1,10.7,0.66,8,1.05,1.804390244,24.73406911,20.55151631,0.513585799
Andre Drummond,Det,C,19,60,20.5,42.4,17.3,0.122,159,0.371,340,5.666666667,0.609,3.451,2,0.033333333,0.5,0.016666667,5.7,3.467666667,0.608362573,0.578,7.9,7.6,21.4,0.5,4.2,1.58,6.1,0.98,0.98315,24.39952736,20.27354586,0.609824561
Andre Iguodala,Den,SG,29,80,34.5,71.1,18.9,0.171,270,0.574,592,7.4,0.515,3.811,287,3.5875,0.317,1.1372375,10.9875,4.9482375,0.450351536,0.52,13,5.3,8.6,5.4,22.6,0.65,8.3,1.73,1.93725,19.80680462,16.45745657,0.502102958
Andre Miller,Den,PG,36,82,26,53.6,18.1,0.193,194,0.84,569,6.93902439,0.504,3.497268293,64,0.780487805,0.266,0.207609756,7.719512195,3.704878049,0.479936809,0.548,9.6,2.9,6.2,5.9,32.6,0.13,8.4,0.88,1.987317073,20.51404395,17.04510111,0.493383886
Andrea Bargnani,Tor,PF,27,35,28.4,57.2,23.9,0.105,77,0.844,303,8.657142857,0.436,3.774514286,122,3.485714286,0.311,1.084057143,12.14285714,4.858571429,0.400117647,0.483,12.7,3.7,7.6,1.1,6.5,0.66,5.2,0.6,1.8568,14.5323052,12.07487963,0.444755294
