NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Quincy Acy,Tor,SF,23,7,8.5,15.3,14.9,0.102,8,0.625,9,1.285714286,0.444,0.570857143,5,0.714285714,0.4,0.285714286,2,0.856571429,0.428285714,0.542,2.7,2.1,14.7,0.6,10.3,0.57,0.43,7.1,0.714285714,20.51240126,14.97405292,0.499714286
Quincy Acy,Sac,SF,23,56,13.9,28.6,9.9,0.16,45,0.667,117,2.089285714,0.496,1.036285714,10,0.178571429,0.2,0.035714286,2.267857143,1.072,0.472692913,0.518,2.7,3.6,14.5,0.4,4.5,0.34,0.41,4.5,0.535982143,12.87939064,9.401955168,0.480566929
Steven Adams,Okc,C,20,81,14.6,30.2,11.8,0.225,136,0.581,185,2.283950617,0.503,1.14882716,0,0,0,0,2.283950617,1.14882716,0.503,0.541,3.3,4.1,15.8,0.5,5.1,0.49,0.7,5.2,0.975506173,17.06458733,12.45714875,0.503
Jeff Adrien,Cha,PF,27,25,10.1,20.3,10.8,0.136,25,0.52,40,1.6,0.55,0.88,0,0,0,0,1.6,0.88,0.55,0.559,2.3,3.5,19.7,0.3,4.2,0.28,0.6,5.3,0.52,17.51462253,12.78567445,0.55
Jeff Adrien,Mil,PF,27,28,25,50.6,19.9,0.101,94,0.67,235,8.392857143,0.515,4.322321429,0,0,0,0,8.392857143,4.322321429,0.515,0.552,10.9,7.8,17.9,1.1,7.8,0.61,0.75,7.3,2.249285714,24.12741168,17.61301053,0.515
Arron Afflalo,Orl,SG,28,73,34.8,71.3,23.4,0.112,336,0.815,711,9.739726027,0.473,4.606890411,300,4.109589041,0.427,1.754794521,13.84931507,6.361684932,0.459350148,0.574,18.2,3.6,5.8,3.4,17,0.48,0.04,7,3.751232877,22.5616954,16.47003765,0.522703264
Alexis Ajinca,Nor,C,25,56,16.8,34.5,16.5,0.184,67,0.836,249,4.446428571,0.546,2.42775,1,0.017857143,0,0,4.464285714,2.42775,0.543816,0.587,5.9,4.9,17.1,0.7,6.7,0.41,0.82,6.5,1.000214286,20.92254709,15.27345938,0.543816
Cole Aldrich,Nyk,C,25,46,6.9,14.2,13.4,0.195,30,0.867,61,1.326086957,0.541,0.717413043,0,0,0,0,1.326086957,0.717413043,0.541,0.62,2,2.8,23.7,0.3,6.6,0.17,0.65,6.9,0.565434783,21.94681264,16.02117323,0.540999999
LaMarcus Aldridge,Por,PF,28,69,36,74.3,29.9,0.072,360,0.822,1408,20.4057971,0.461,9.407072464,15,0.217391304,0.2,0.043478261,20.62318841,9.450550725,0.45824877,0.507,23.2,11.1,16.6,2.6,13.1,0.93,1,9.7,4.288695652,29.32816582,21.40956105,0.459302881
Lavoy Allen,Phi,PF,24,51,18.7,38.3,14.4,0.127,40,0.675,252,4.941176471,0.456,2.253176471,13,0.254901961,0.154,0.039254902,5.196078431,2.292431373,0.441184906,0.465,5.2,5.4,15.7,1.3,10.4,0.43,0.53,7.1,0.529411765,15.97311328,11.6603727,0.444962264
Lavoy Allen,Ind,PF,24,14,7.8,15.7,17.9,0.094,10,0.6,34,2.428571429,0.5,1.214285714,0,0,0,0,2.428571429,1.214285714,0.5,0.521,2.9,2.4,17.6,0.4,9.4,0.14,0.43,7.2,0.428571429,18.65005014,13.6145366,0.5
Ray Allen,Mia,SG,38,73,26.3,54.2,16.9,0.123,116,0.905,234,3.205479452,0.53,1.69890411,309,4.232876712,0.375,1.587328767,7.438356164,3.286232877,0.44179558,0.59,9.6,2.8,6.7,2,11.2,0.74,0.1,5.7,1.438082192,16.75646967,12.23222286,0.548494475
Tony Allen,Mem,SG,32,55,23.1,47.6,20.2,0.162,121,0.628,366,6.654545455,0.527,3.506945455,47,0.854545455,0.234,0.199963636,7.509090909,3.706909091,0.493656174,0.531,9,3.8,9.7,1.7,11.8,1.64,0.35,6.7,1.3816,20.9943157,15.32585046,0.506970944
Al-Farouq Aminu,Nor,SF,23,80,25.4,52.4,14.4,0.137,137,0.664,446,5.575,0.496,2.7652,48,0.6,0.271,0.1626,6.175,2.9278,0.474137652,0.516,7.2,6.2,14.2,1.4,8.4,1.03,0.46,6.2,1.1371,17.19568703,12.55285153,0.487303644
Louis Amundson,Nor,PF,31,18,10,20,14.3,0.248,24,0.25,32,1.777777778,0.5,0.888888889,0,0,0,0,1.777777778,0.888888889,0.5,0.446,2.1,3.1,17.7,0.3,4.8,0.5,0.61,5,0.333333333,16.13693556,11.77996296,0.5
Chris Andersen,Mia,C,35,72,19.2,39.5,13.9,0.132,169,0.71,263,3.652777778,0.662,2.418138889,12,0.166666667,0.25,0.041666667,3.819444444,2.459805556,0.644021818,0.683,6.6,5.3,17.2,0.3,2.1,0.44,1.35,4.6,1.666527778,23.08588213,16.85269396,0.649476364
Alan Anderson,Bro,SF,31,78,22.6,46.5,16,0.104,118,0.78,237,3.038461538,0.464,1.409846154,248,3.179487179,0.339,1.077846154,6.217948718,2.487692308,0.400082474,0.525,7.2,2.2,6,1,7.3,0.62,0.14,4.4,1.18,12.89779881,9.415393129,0.486754639
