2013-2014 NBA REGULAR SEASON ADVANCED STATS,,,,,,,,,,,,,,,,,,,,,
Rank,Team,Conference,Division,GP,PPG,OPPG,PDIFF,PACE,OEFF,DEFF,EDIFF,SOS,SAR,CONS,A4F,WINS,LOSS,WIN%,pWIN%,eWIN%,ACH
,ALLAtlantaBostonBrooklynCharlotteChicagoClevelandDallasDenverDetroitEast AverageGolden StateHoustonIndianaLA ClippersLA LakersMemphisMiamiMilwaukeeMinnesotaNBA AverageNew OrleansNew YorkOklahoma CityOrlandoPhiladelphiaPhoenixPortlandSacramentoSan AntonioTorontoUtahWashingtonWest Average,ALLEastWest,ALLAtlanticCentralNorthwestPacificSoutheastSouthwest,,,,,,,,,,,,,,,,,,
,East Average,,,82,98.4,99.9,-1.5,92.9,104.9,106.5,-1.6,-0.19,-1.79,13.6,-0.017,37.1,44.9,0.452,,,
,West Average,,,82,103.6,102.1,1.5,95,108.4,106.9,1.5,0.11,1.61,13.3,0.017,44.9,37.1,0.548,,,
,NBA Average,,,82,101,101,0,93.9,106.7,106.7,0,0,0,13.5,0,41,41,0.5,,,
,Atlanta,East,Southeast,82,101,101.5,-0.5,94.6,105.9,106.4,-0.5,-0.39,-0.89,12.9,-0.001,38,44,0.463,0.484,0.485,-0.022
,Boston,East,Atlantic,82,96.2,100.7,-4.5,93.3,102.9,107.7,-4.8,-0.08,-4.88,13,-0.029,25,57,0.305,0.352,0.356,-0.051
,Brooklyn,East,Atlantic,82,98.5,99.5,-1,91.4,106.7,107.7,-1,0.33,-0.67,15.8,-0.016,44,38,0.537,0.467,0.475,0.062
,Charlotte,East,Southeast,82,96.9,97.1,-0.2,92.4,103.6,103.8,-0.2,0.29,0.09,14.1,-0.027,43,39,0.524,0.493,0.494,0.03
,Chicago,East,Central,82,93.7,91.8,1.9,90.2,102.5,100.5,2,-0.64,1.36,15.5,0.012,48,34,0.585,0.563,0.551,0.034
,Cleveland,East,Central,82,98.2,101.5,-3.3,93.1,104.2,107.7,-3.5,0.89,-2.61,14.1,-0.04,33,49,0.402,0.391,0.402,0
