NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
A.J. Price,Cle,PG,28,11,7.9,16.4,21,0.076,6,0.667,23,2.090909091,0.391,0.817545455,11,1,0,0,3.090909091,0.817545455,0.2645,0.3,2,1.4,9.9,1.2,22.1,0.27,0,7.6,0.363818182,5.936559008,4.807060116,0.2645,,,,,,,,,,,,,,,,,,,,
A.J. Price,Ind,PG,28,10,19.3,40.2,25.4,0.094,18,0.667,50,5,0.48,2.4,39,3.9,0.385,1.5015,8.9,3.9015,0.438370787,0.542,10.5,1.4,4,2.7,25.3,0.4,0,7.1,1.2006,19.30008271,15.62801915,0.522724719,,,,,,,,,,,,,,,,,,,,
A.J. Price,Pho,PG,28,5,8.8,18.2,15.3,0.067,0,0,7,1.4,0.429,0.6006,7,1.4,0,0,2.8,0.6006,0.2145,0.214,1.2,0.6,3.8,1.2,18.8,0,0,4.3,0,-1.795922886,-1.454227822,0.2145,,,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chi,PG,30,82,23,47.9,25.4,0.149,174,0.833,504,6.146341463,0.442,2.716682927,313,3.817073171,0.387,1.477207317,9.963414634,4.193890244,0.420929009,0.534,11.6,2,4.8,3.2,24.2,0.66,0.18,7.3,1.767585366,19.54656514,15.82760545,0.495060588,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,Orl,PF,19,47,17,35.3,15.8,0.139,61,0.721,160,3.404255319,0.5,1.70212766,48,1.021276596,0.271,0.276765957,4.425531915,1.978893617,0.447153846,0.517,5.2,3.6,12,0.7,6.3,0.45,0.47,5.5,0.935765957,13.9513598,11.29695252,0.478423077,,,,,,,,,,,,,,,,,,,,
Adreian Payne,Atl,PF,23,3,6.4,13.3,19,0,2,0.5,6,2,0.333,0.666,1,0.333333333,0,0,2.333333333,0.666,0.285428571,0.317,1.7,1.3,11.9,0,0,0.33,0,0,0.333333333,0,0,0.285428571,,,,,,,,,,,,,,,,,,,,
Adreian Payne,Min,PF,23,29,24.8,51.8,17.1,0.159,44,0.659,205,7.068965517,0.429,3.032586207,8,0.275862069,0.125,0.034482759,7.344827586,3.067068966,0.41758216,0.448,7.2,5.4,12.5,1,6.6,0.62,0.31,5.5,0.999862069,12.09891079,9.796953327,0.419929577,,,,,,,,,,,,,,,,,,,,
Al Horford,Atl,C,28,76,30.5,63.5,22.6,0.089,141,0.759,929,12.22368421,0.547,6.686355263,36,0.473684211,0.306,0.144947368,12.69736842,6.831302632,0.538009326,0.563,15.2,7.2,13.4,3.2,18.6,0.89,1.28,9.2,1.408144737,24.83778981,20.11211353,0.543717098,,,,,,,,,,,,,,,,,,,,
Al Jefferson,Cha,C,30,65,30.6,63.8,26.7,0.059,165,0.655,1005,15.46153846,0.482,7.452461538,5,0.076923077,0.4,0.030769231,15.53846154,7.483230769,0.481594059,0.5,16.6,8.4,15.2,1.7,11.6,0.72,1.29,8.1,1.662692308,22.58978426,18.29181699,0.482584158,,,,,,,,,,,,,,,,,,,,
Alan Anderson,Bro,SG,32,74,23.6,49.1,14.4,0.11,101,0.812,229,3.094594595,0.528,1.633945946,210,2.837837838,0.348,0.987567568,5.932432432,2.621513514,0.441895216,0.562,7.3,2.8,6.6,1.1,7.3,0.76,0.07,4.8,1.10827027,12.80207261,10.36633049,0.525129841,,,,,,,,,,,,,,,,,,,,
Alec Burks,Uta,SG,23,27,33.3,69.4,21.2,0.127,129,0.822,232,8.592592593,0.409,3.51437037,68,2.518518519,0.382,0.962074074,11.11111111,4.476444444,0.40288,0.524,13.9,4.2,7.3,3,15.2,0.63,0.19,6.7,3.927333333,16.38811252,13.2700849,0.446173333,,,,,,,,,,,,,,,,,,,,
Alex Len,Pho,C,21,69,22,45.8,13.9,0.157,104,0.702,350,5.072463768,0.509,2.581884058,3,0.043478261,0.333,0.014478261,5.115942029,2.596362319,0.507504249,0.542,6.3,6.6,16.4,0.5,3.1,0.49,1.52,5,1.058086957,17.34024368,14.04106211,0.508919263,,,,,,,,,,,,,,,,,,,,
Alexey Shved,Hou,SG,26,9,6.6,13.7,25.2,0.148,11,0.818,12,1.333333333,0.333,0.444,12,1.333333333,0.333,0.444,2.666666667,0.888,0.333,0.503,3.2,0.4,3.7,0.3,8.1,0.11,0,4.4,0.999777778,9.241021625,7.482810569,0.41625,,,,,,,,,,,,,,,,,,,,
Alexey Shved,Phi,SG,26,17,16.8,34.9,26.9,0.104,57,0.842,73,4.294117647,0.479,2.056882353,57,3.352941176,0.298,0.999176471,7.647058824,3.056058824,0.399638462,0.545,9.9,1.3,4.2,2.7,31.3,0.82,0.06,7.8,2.823176471,23.2204219,18.80246854,0.464969231,,,,,,,,,,,,,,,,,,,,
Alexey Shved,Nyk,SG,26,16,26.4,55.1,26.7,0.103,82,0.78,111,6.9375,0.423,2.9345625,70,4.375,0.371,1.623125,11.3125,4.5576875,0.402889503,0.544,14.8,4.6,10,3.6,24.3,0.94,0.31,9.5,3.9975,23.92389566,19.37209829,0.474629834,,,,,,,,,,,,,,,,,,,,
Alexis Ajinca,Nor,C,26,68,14.1,29.3,21.5,0.156,99,0.818,329,4.838235294,0.55,2.661029412,0,0,0,0,4.838235294,2.661029412,0.55,0.595,6.5,4.6,18.7,0.7,8.2,0.31,0.75,7.8,1.190911765,23.57358117,19.08843518,0.55,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,Dal,SF,24,74,18.5,38.4,15.4,0.119,118,0.712,233,3.148648649,0.485,1.527094595,124,1.675675676,0.274,0.459135135,4.824324324,1.98622973,0.411711485,0.504,5.6,4.6,13.7,0.8,6.1,0.95,0.84,5.9,1.135351351,16.58642372,13.43066511,0.459296919,,,,,,,,,,,,,,,,,,,,
Allen Crabbe,Por,SG,22,51,13.4,27.9,11.6,0.086,16,0.75,68,1.333333333,0.485,0.646666667,85,1.666666667,0.353,0.588333333,3,1.235,0.411666667,0.525,3.3,1.4,5.7,0.8,8.1,0.37,0.29,4.6,0.235294118,9.792099517,7.929039529,0.509722222,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,Den,SF,27,39,13.1,27.3,16.4,0.131,65,0.738,113,2.897435897,0.496,1.437128205,24,0.615384615,0.417,0.256615385,3.512820513,1.69374359,0.482160584,0.574,4.9,1.8,7.4,0.5,5.7,0.72,0.15,5,1.23,15.48768318,12.54097264,0.518686131,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,Por,SF,27,15,10,20.9,18.7,0.128,12,0.5,38,2.533333333,0.474,1.2008,11,0.733333333,0.273,0.2002,3.266666667,1.401,0.428877551,0.47,3.4,1.6,8.5,0.4,6,0.47,0.07,5.2,0.4,11.03463978,8.935172162,0.459520408,,,,,,,,,,,,,,,,,,,,
Amar’e Stoudemire,Nyk,PF,32,36,24,50,23.2,0.147,127,0.74,308,8.555555556,0.549,4.697,3,0.083333333,0,0,8.638888889,4.697,0.54370418,0.589,12,6.8,16.4,1,8.1,0.56,0.94,7.2,2.610555556,23.84488495,19.30812029,0.54370418,,,,,,,,,,,,,,,,,,,,
Amar’e Stoudemire,Dal,PF,32,23,16.5,34.4,26.3,0.068,59,0.678,178,7.739130435,0.584,4.519652174,1,0.043478261,0,0,7.782608696,4.519652174,0.58073743,0.605,10.8,3.7,12.1,0.3,3.9,0.39,0.17,5.5,1.739217391,24.89942867,20.16202489,0.58073743,,,,,,,,,,,,,,,,,,,,
Amir Johnson,Tor,PF,27,75,26.4,55,15.9,0.16,129,0.612,473,6.306666667,0.59,3.720933333,46,0.613333333,0.413,0.253306667,6.92,3.97424,0.574312139,0.603,9.3,6.1,13.3,1.6,9.4,0.59,0.79,6.8,1.05264,18.75299053,15.18501757,0.592614644,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,Cle,C,32,26,24.4,50.9,18.4,0.137,45,0.733,198,7.615384615,0.561,4.272230769,2,0.076923077,0,0,7.692307692,4.272230769,0.55539,0.58,9.8,6.5,15.3,1.3,9.1,0.73,0.62,7.1,1.268653846,20.60530817,16.68491039,0.55539,,,,,,,,,,,,,,,,,,,,
Andre Dawkins,Mia,SG,23,4,5.4,11.3,15.4,0.143,0,0,0,0,0,0,6,1.5,0.167,0.2505,1.5,0.2505,0.167,0.25,0.8,0.5,5.5,0.3,6.7,0,0,3.7,0,-5.467948926,-4.427608513,0.2505,,,,,,,,,,,,,,,,,,,,
Andre Drummond,Det,C,21,82,30.5,63.6,22.3,0.097,365,0.389,960,11.70731707,0.515,6.029268293,2,0.024390244,0,0,11.73170732,6.029268293,0.513929314,0.503,13.8,13.5,24,0.7,3.9,0.89,1.87,6.7,1.73152439,24.09467907,19.51038819,0.513929314,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,Gol,SG,31,77,26.9,56,13.5,0.139,114,0.596,284,3.688311688,0.553,2.039636364,212,2.753246753,0.349,0.960883117,6.441558442,3.000519481,0.465806452,0.553,7.8,3.3,6.7,2.9,14.6,1.16,0.32,6.3,0.88238961,15.47552311,12.53112617,0.540391129,,,,,,,,,,,,,,,,,,,,
Andre Miller,Sac,PG,38,30,20.7,43.2,16,0.26,38,0.789,122,4.066666667,0.508,2.065866667,26,0.866666667,0.231,0.2002,4.933333333,2.266066667,0.459337838,0.522,5.7,2.5,6.9,4.7,34.9,0.6,0.13,7.8,0.9994,17.5538331,14.21401369,0.479628378,,,,,,,,,,,,,,,,,,,,
Andre Miller,Was,PG,38,51,12.4,25.8,15,0.224,39,0.718,134,2.62745098,0.567,1.489764706,8,0.156862745,0.125,0.019607843,2.784313725,1.509372549,0.542098592,0.575,3.6,1.5,6.9,2.8,34.1,0.27,0.04,8,0.549058824,17.24504675,13.9639775,0.545619718,,,,,,,,,,,,,,,,,,,,
Andre Roberson,Okc,SG,23,67,19.2,40,9.1,0.172,48,0.479,116,1.731343284,0.612,1.05958209,85,1.268656716,0.247,0.313358209,3,1.372940299,0.457646766,0.513,3.4,3.8,10.6,1,7.4,0.79,0.43,4.9,0.343164179,11.59293287,9.387243545,0.509873134,,,,,,,,,,,,,,,,,,,,
Andrea Bargnani,Nyk,C,29,29,27.1,56.4,26.8,0.093,107,0.813,320,11.03448276,0.466,5.142068966,41,1.413793103,0.366,0.517448276,12.44827586,5.659517241,0.454642659,0.527,14.8,4.4,9.3,1.6,11.3,0.07,0.93,6.9,2.999689655,19.66402308,15.92271566,0.475426593,,,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Bro,SF,33,7,5.2,10.8,9.9,0.129,4,0.75,5,0.714285714,0,0,0,0,0,0,0.714285714,0,0,0.222,0.4,1.1,12.3,0.1,3.6,0.14,0,2.7,0.428571429,-2.445383679,-1.980121201,0,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,Gol,C,30,67,23.6,49.2,13.4,0.221,42,0.524,355,5.298507463,0.563,2.983059701,0,0,0,0,5.298507463,2.983059701,0.563,0.565,6.3,8.1,18.5,2.7,15.4,0.58,1.69,8.8,0.328477612,21.7474058,17.60971076,0.563,,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,Orl,PF,25,40,12.3,25.6,21.1,0.107,25,0.6,149,3.725,0.47,1.75075,41,1.025,0.317,0.324925,4.75,2.075675,0.436984211,0.483,4.9,2.1,9.4,0.6,7.3,0.15,0.3,6,0.375,12.61201578,10.21243416,0.471186842,,,,,,,,,,,,,,,,,,,,
