2015-2016 NBA REGULAR SEASON ADVANCED STATS,,,,,,,,,,,,,,,,,,,,,,
Rank,Team,Conference,Division,GP,PPG,OPPG,PDIF,PACE,OEFF,DEFF,EDIF,SoS,RSoS,SAR,CONS,A4F,WIN,LOSS,WIN%,pWIN%,eWIN%,ACH
,ALLAtlantaBostonBrooklynCharlotteChicagoClevelandDallasDenverDetroitEast AverageGolden StateHoustonIndianaLA ClippersLA LakersMemphisMiamiMilwaukeeMinnesotaNBA AverageNew OrleansNew YorkOklahoma CityOrlandoPhiladelphiaPhoenixPortlandSacramentoSan AntonioTorontoUtahWashingtonWest Average,ALLEastWest,ALLAtlanticCentralNorthwestPacificSoutheastSouthwest,,,,,,,,,,,,,,,,,,,
,East Average,,,82,101.6,101.9,-0.3,95.6,105.6,105.8,-0.2,0.02,0,-0.18,13.1,-0.002,40.5,41.5,0.494,,,
,West Average,,,82,103.7,103.4,0.3,96,107.3,107,0.3,0.06,0,0.36,12.9,0.002,41.5,40.5,0.506,,,
,NBA Average,,,82,102.7,102.7,0,95.8,106.4,106.4,0,0,0,0,13,0,41,41,0.5,,,
,Atlanta,East,Southeast,82,102.6,99.1,3.5,97,105,101.4,3.6,-0.69,0,2.91,13.9,0.031,48,34,0.585,0.615,0.602,-0.017
,Boston,East,Atlantic,82,105.7,102.5,3.2,98.5,106.8,103.6,3.2,-0.61,0,2.59,12.3,-0.029,48,34,0.585,0.605,0.603,-0.018
,Brooklyn,East,Atlantic,82,98.6,106,-7.4,95.2,103.2,110.9,-7.7,0.39,0,-7.31,10.4,-0.062,21,61,0.256,0.256,0.229,0.027
,Charlotte,East,Southeast,82,103.4,100.7,2.7,95.7,107.2,104.3,2.9,-0.92,0,1.98,14,-0.003,48,34,0.585,0.589,0.582,0.003
,Chicago,East,Central,82,101.6,103.1,-1.5,95.7,105,106.5,-1.5,0.44,0,-1.06,12.9,0.024,42,40,0.512,0.451,0.454,0.058
,Cleveland,East,Central,82,104.3,98.3,6,93.3,110.9,104.5,6.4,-0.24,0,6.16,13.9,0.054,57,25,0.695,0.698,0.677,0.018
,Dallas,West,Southwest,82,102.3,102.6,-0.3,94.3,106.7,107.1,-0.4,-0.64,0,-1.04,13.1,-0.02,42,40,0.512,0.49,0.488,0.024
,Denver,West,Northwest,82,101.9,105,-3.1,95.7,105.7,108.9,-3.2,1.1,0,-2.1,10.8,-0.024,33,49,0.402,0.398,0.384,0.018
,Detroit,East,Central,82,102,101.4,0.6,95.1,106.2,105.5,0.7,0.25,0,0.95,12.9,-0.006,44,38,0.537,0.52,0.522,0.015
,Golden State,West,Pacific,82,114.9,104.1,10.8,99.3,114.5,103.8,10.7,-1.58,0,9.12,12.9,0.141,73,9,0.89,0.856,0.797,0.093
,Houston,West,Southwest,82,106.5,106.4,0.1,97.6,108.3,108.1,0.2,0.56,0,0.76,11.6,-0.012,41,41,0.5,0.503,0.507,-0.007
,Indiana,East,Central,82,102.2,100.5,1.7,96.6,104.7,102.9,1.8,0.26,0,2.06,12.5,0.002,45,37,0.549,0.556,0.557,-0.008
,LA Clippers,West,Pacific,82,104.5,100.2,4.3,95.8,108.3,103.9,4.4,0.75,0,5.15,13.2,0.03,53,29,0.646,0.642,0.631,0.015
,LA Lakers,West,Pacific,82,97.3,106.9,-9.6,95.6,101.6,111.6,-10,1.71,0,-8.29,13.2,-0.091,17,65,0.207,0.184,0.224,-0.017
,Memphis,West,Southwest,82,99.1,101.3,-2.2,93.3,105.4,107.8,-2.4,-0.47,0,-2.87,14.7,-0.095,42,40,0.512,0.428,0.435,0.077
,Miami,East,Southeast,82,100,98.4,1.6,93.6,106.1,104.4,1.7,-0.19,0,1.51,13.8,0.053,48,34,0.585,0.553,0.549,0.036
,Milwaukee,East,Central,82,99,103.2,-4.2,94.2,104.4,108.8,-4.4,0.93,0,-3.47,13.5,-0.024,33,49,0.402,0.362,0.372,0.03
,Minnesota,West,Northwest,82,102.4,106,-3.6,95.2,106.5,110.2,-3.7,0.33,0,-3.37,11.7,-0.039,29,53,0.354,0.381,0.376,-0.022
,New Orleans,West,Southwest,82,102.7,106.5,-3.8,96.8,105.6,109.5,-3.9,0.65,0,-3.25,11.5,-0.044,30,52,0.366,0.375,0.367,-0.001
,New York,East,Atlantic,82,98.2,100.9,-2.7,93.3,104.7,107.5,-2.8,0.12,0,-2.68,14.2,0.017,32,50,0.39,0.411,0.422,-0.032
,Oklahoma City,West,Northwest,82,110.2,102.9,7.3,96.6,113.2,105.7,7.5,-1.17,0,6.33,13.5,0.109,55,27,0.671,0.74,0.711,-0.04
,Orlando,East,Southeast,82,102.1,103.7,-1.6,96,105.1,106.8,-1.7,-0.56,0,-2.26,13.1,-0.034,35,47,0.427,0.447,0.448,-0.021
,Philadelphia,East,Atlantic,82,97.4,107.6,-10.2,97.9,98.9,109.3,-10.4,1.16,0,-9.24,12.8,-0.034,10,72,0.122,0.164,0.208,-0.086
,Phoenix,West,Pacific,82,100.9,107.5,-6.6,98.5,102.3,109,-6.7,1.45,0,-5.25,14.3,-0.029,23,59,0.28,0.283,0.32,-0.04
,Portland,West,Northwest,82,105.1,104.3,0.8,96,108.8,108,0.8,-0.52,0,0.28,14,0.03,44,38,0.537,0.526,0.523,0.014
,Sacramento,West,Pacific,82,106.6,109.1,-2.5,99.9,106,108.5,-2.5,1.13,0,-1.37,10.2,-0.018,33,49,0.402,0.418,0.403,-0.001
,San Antonio,West,Southwest,82,103.5,92.9,10.6,93.7,110.3,99,11.3,-2.23,0,9.07,14.6,0.062,67,15,0.817,0.849,0.781,0.036
,Toronto,East,Atlantic,82,102.7,98.2,4.5,92.9,110,105.2,4.8,-0.67,0,4.13,11.8,0.012,56,26,0.683,0.648,0.658,0.025
,Utah,West,Northwest,82,97.7,95.9,1.8,91,105.9,104,1.9,-0.1,0,1.8,14.9,0.029,40,42,0.488,0.559,0.551,-0.063
,Washington,East,Southeast,82,104.1,104.6,-0.5,98.4,105.4,105.9,-0.5,0.6,0,0.1,14.8,-0.029,41,41,0.5,0.484,0.487,0.013
