2016-2017 NBA REGULAR LAST5 ADVANCED STATS,NBA REST DAYS STATS >>,,,,,,,,,,,,,,,,,,,,,
Rank,Team,Conference,Division,GP,PPG,OPPG,PDIF,PACE,OEFF,DEFF,EDIF,SoS,RSoS,SAR,CONS,A4F,WIN,LOSS,WIN%,pWIN,eWIN,ACH
,ALLAtlantaBostonBrooklynCharlotteChicagoClevelandDallasDenverDetroitEast AverageGolden StateHoustonIndianaLA ClippersLA LakersMemphisMiamiMilwaukeeMinnesotaNBA AverageNew OrleansNew YorkOklahoma CityOrlandoPhiladelphiaPhoenixPortlandSacramentoSan AntonioTorontoUtahWashingtonWest Average,ALLEastWest,ALLAtlanticCentralNorthwestPacificSoutheastSouthwest,,,,,,,,,,,,,,,,,,,
,East Average,,,5,104.5,105.1,-0.6,96,108.2,108.8,-0.6,-0.24,0,-0.84,13.8,-0.006,2.5,2.5,0.5,,,
,West Average,,,5,105.8,105.6,0.2,96.2,109.9,109.6,0.3,0.12,0,0.42,11.7,0.004,2.5,2.5,0.5,,,
,NBA Average,,,5,105.1,105.1,0,96.1,109,109,0,0,0,0,12.8,-0.001,2.5,2.5,0.5,,,
,Atlanta,East,Southeast,5,110.4,104.2,6.2,96.4,111.8,105.5,6.3,2.16,0,8.46,18.1,0.039,4,1,0.8,0.704,0.636,0.164
,Boston,East,Atlantic,5,110.8,110,0.8,99.2,111.6,110.9,0.7,-1.88,0,-1.18,16.6,0.02,3,2,0.6,0.526,0.517,0.083
,Brooklyn,East,Atlantic,5,106.6,113,-6.4,102.6,103.8,110.1,-6.4,-0.49,0,-6.89,21.9,-0.01,2,3,0.4,0.289,0.385,0.015
,Charlotte,East,Southeast,5,95.8,108.6,-12.8,92,103.8,117.8,-14,1.44,0,-12.56,9.1,-0.089,0,5,0,0.079,0.063,-0.063
,Chicago,East,Central,5,106.6,89,17.6,99.2,107.5,89.9,17.6,-5.6,0,12,25.1,0.062,3,2,0.6,1,0.758,-0.158
,Cleveland,East,Central,5,108.6,110.6,-2,96,108,110.2,-2.1,1.24,0,-0.86,16.3,0.004,1,4,0.2,0.434,0.449,-0.249
,Dallas,West,Southwest,5,98.4,108,-9.6,94.3,104.4,114.4,-9.9,2.65,0,-7.25,10.3,-0.036,1,4,0.2,0.184,0.168,0.032
,Denver,West,Northwest,5,110.2,103.6,6.6,101.8,108.4,101.7,6.7,1.55,0,8.25,10.4,0.054,3,2,0.6,0.717,0.739,-0.139
,Detroit,East,Central,5,105.8,104.4,1.4,96.1,110.2,108.5,1.7,1.31,0,3.01,8.2,-0.021,2,3,0.4,0.546,0.582,-0.182
,Golden State,West,Pacific,5,114.4,103.6,10.8,99,115.7,104.9,10.8,-4.81,0,5.99,11,0.064,4,1,0.8,0.856,0.838,-0.038
,Houston,West,Southwest,5,114.6,117.8,-3.2,102,112.3,115.7,-3.4,-1.91,0,-5.31,15.2,0.012,3,2,0.6,0.395,0.412,0.188
,Indiana,East,Central,5,112.4,97.6,14.8,94.2,119.2,103.4,15.8,-2.55,0,13.25,4.6,0.029,5,0,1,0.987,1,0
,LA Clippers,West,Pacific,5,113,96.6,16.4,94.7,119.4,102,17.3,-3.2,0,14.1,8.2,0.073,5,0,1,1,0.982,0.018
,LA Lakers,West,Pacific,5,102.4,100.6,1.8,98.4,104.2,102.2,2,1.73,0,3.73,10.1,-0.014,4,1,0.8,0.559,0.579,0.221
,Memphis,West,Southwest,5,94.6,97.8,-3.2,87.9,105.9,109.1,-3.3,-3.11,0,-6.41,11.4,0.001,1,4,0.2,0.395,0.386,-0.186
,Miami,East,Southeast,5,109.2,104.2,5,95.4,112.3,106.9,5.4,2.76,0,8.16,6.4,0.009,4,1,0.8,0.665,0.8,0
,Milwaukee,East,Central,5,88.2,97.4,-9.2,92.7,95.2,104.8,-9.6,2.01,0,-7.59,19,0.003,2,3,0.4,0.197,0.307,0.093
,Minnesota,West,Northwest,5,107.2,111.6,-4.4,96.3,111.5,116,-4.6,2.36,0,-2.24,2.9,-0.035,0,5,0,0.355,0.058,-0.058
,New Orleans,West,Southwest,5,107.4,117.4,-10,99.3,108,118.2,-10.2,3.68,0,-6.52,10.4,-0.045,1,4,0.2,0.171,0.162,0.038
,New York,East,Atlantic,5,100.4,104.2,-3.8,90.7,110.6,115.1,-4.5,-1.71,0,-6.21,10.6,-0.036,2,3,0.4,0.375,0.336,0.064
,Oklahoma City,West,Northwest,5,102.6,106.8,-4.2,95.6,107.6,112.1,-4.5,0.84,0,-3.66,11.1,-0.048,3,2,0.6,0.362,0.343,0.257
,Orlando,East,Southeast,5,103.4,117.4,-14,100.1,103.1,117.5,-14.4,-1.62,0,-16.02,22.6,-0.063,2,3,0.4,0.039,0.262,0.138
,Philadelphia,East,Atlantic,5,102.8,113.2,-10.4,97.7,105.4,115.8,-10.4,-3.95,0,-14.35,7.7,-0.073,0,5,0,0.158,0.087,-0.087
,Phoenix,West,Pacific,5,115,116.4,-1.4,101.2,114.7,115,-0.3,-0.95,0,-1.25,18.8,-0.016,2,3,0.4,0.454,0.494,-0.094
,Portland,West,Northwest,5,98.4,98.2,0.2,92.9,106,105.8,0.2,0.99,0,1.19,14.3,-0.008,3,2,0.6,0.507,0.506,0.094
,Sacramento,West,Pacific,5,108.8,107.8,1,96.8,111.8,111.4,0.3,-1.26,0,-0.96,17.8,0.019,2,3,0.4,0.533,0.507,-0.107
,San Antonio,West,Southwest,5,95.8,97.8,-2,92.5,103.6,105.8,-2.2,0,0,-2.2,9.9,-0.021,1,4,0.2,0.434,0.412,-0.212
,Toronto,East,Atlantic,5,99.8,96.8,3,92.5,108,104.6,3.4,2.72,0,6.12,14.3,0.018,4,1,0.8,0.599,0.594,0.206
,Utah,West,Northwest,5,103.6,99.4,4.2,90.4,114.5,110,4.5,3.25,0,7.75,13.9,0.055,4,1,0.8,0.638,0.627,0.173
,Washington,East,Southeast,5,106.8,106.2,0.6,95.3,112.2,111.5,0.6,0.54,0,1.14,6.3,0.025,3,2,0.6,0.52,0.538,0.062
