NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,ORTG,DRTG,TOPG,eFG%
Aaron Brooks,Min,PG,33,32,5.9,12.3,19.8,0.13,11,0.727,38,1.1875,0.447,0.5308125,31,0.96875,0.355,0.34390625,2.15625,0.87471875,0.486,0.508,2.3,0.5,5.2,0.6,15,0.19,0,6,0.24990625,10.03048148,7.522861111,103.1,100.4,0.34,0.485413043
Aaron Gordon,Orl,SF,22,58,32.9,68.6,24.7,0.1,225,0.698,523,9.017241379,0.497,4.481568966,342,5.896551724,0.336,1.981241379,14.9137931,6.462810345,0.5,0.53,17.6,7.9,13.2,2.3,11.7,1.02,0.78,8.3,2.707758621,22.42555806,16.81916854,103.6,106.2,1.84,0.49976763
Aaron Harrison,Dal,SG,23,9,25.9,54,15.5,0.038,17,0.765,26,2.888888889,0.385,1.112222222,43,4.777777778,0.209,0.998555556,7.666666667,2.110777778,0.341,0.392,6.7,2.7,5.7,1.2,6.7,1,0.22,4.3,1.445,7.823912941,5.867934705,87.9,100.8,0.33,0.340442029
Aaron Jackson,Hou,F,31,1,34.5,71.9,13.9,0.092,2,0.5,5,5,0.4,2,4,4,0.25,1,9,3,0.389,0.405,8,3,4.9,1,4,0,0,3.3,1,4.81964339,3.614732543,91.3,101.6,1,0.388888889
Abdel Nader,Bos,SF,24,48,10.9,22.6,17.1,0.17,39,0.59,84,1.75,0.321,0.56175,65,1.354166667,0.354,0.479375,3.104166667,1.041125,0.413,0.439,3,1.5,7.4,0.5,7.2,0.31,0.21,4.8,0.479375,8.176614851,6.132461138,83.1,99.1,0.71,0.412610738
Adreian Payne,Orl,PF,26,5,8.5,17.8,15.1,0.137,6,0.833,7,1.4,0.714,0.9996,3,0.6,0.667,0.4002,2,1.3998,0.8,0.831,4.2,1.8,11.6,0,0,0.4,0,0,0.9996,0,0,140.6,97.1,0.4,0.79995
Al Horford,Bos,C,31,72,31.6,65.9,18.4,0.141,120,0.783,527,7.319444444,0.514,3.762194444,226,3.138888889,0.429,1.346583333,10.45833333,5.108777778,0.553,0.575,12.9,7.4,12.7,4.7,23.6,0.6,1.08,9.7,1.305,22.84797413,17.1359806,115.4,100.4,1.83,0.552867198
Al Jefferson,Ind,C,33,36,13.4,28,22.6,0.086,36,0.833,205,5.694444444,0.541,3.080694444,3,0.083333333,0,0,5.777777778,3.080694444,0.534,0.563,7,4,16.7,0.8,10.1,0.44,0.64,8.4,0.833,24.32969072,18.24726804,112.9,93.9,0.58,0.533197115
Alan Williams,Pho,PF,25,5,14.1,29.3,17.5,0.242,9,0.667,18,3.6,0.389,1.4004,0,0,0,0,3.6,1.4004,0.389,0.455,4,4.4,16.7,1.6,16.2,1,0.2,8.6,1.2006,18.3975185,13.79813888,86.2,90.5,1.4,0.389
Alec Burks,Uta,SG,26,64,16.5,34.5,22.5,0.114,124,0.863,272,4.25,0.452,1.921,142,2.21875,0.331,0.73440625,6.46875,2.65540625,0.467,0.527,7.7,3,10.3,1,10,0.58,0.13,6.9,1.6720625,17.74540735,13.30905551,102,99.2,0.94,0.467263285
