RANK,TEAM,CONF,DIVISION,GP,PTS/GM,aPTS/GM,PTS DIFF,PACE,OEFF,DEFF,EDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
1,Atlanta,East,Southeast,82,103.4,108.8,-5.4,98.3,105,110.6,-5.6,0.34,0,-5.26,13.4,-0.037,24,58,0.293,0.338,0.322,-0.045,L 1
2,Boston,East,Atlantic,82,104,100.4,3.6,96,107.6,103.9,3.7,-0.88,0,2.82,11.5,0.033,55,27,0.671,0.627,0.619,0.044,W 1
3,Brooklyn,East,Atlantic,82,106.6,110.3,-3.7,98.9,106.9,110.6,-3.7,0.3,0,-3.4,12.2,0.021,28,54,0.341,0.381,0.378,-0.04,L 1
4,Charlotte,East,Southeast,82,108.2,108,0.2,98.4,109.4,109.1,0.3,0.01,0,0.31,12.6,-0.041,36,46,0.439,0.51,0.507,-0.071,W 1
5,Chicago,East,Central,82,102.9,110,-7.1,98.3,103.8,110.9,-7.1,0.56,0,-6.54,14.4,-0.061,27,55,0.329,0.311,0.266,0.018,L 4
6,Cleveland,East,Central,82,110.9,109.9,1,97.9,112.9,112,0.9,-0.01,0,0.89,14.4,0.009,50,32,0.61,0.525,0.533,0.085,L 1
7,Dallas,West,Southwest,82,102.3,105.3,-3,95.5,106.4,109.6,-3.2,0.55,0,-2.65,13.4,-0.054,24,58,0.293,0.406,0.401,-0.113,L 4
8,Denver,West,Northwest,82,110,108.5,1.5,96.9,112.4,110.9,1.5,0.26,0,1.76,14.3,0.015,46,36,0.561,0.542,0.549,0.019,L 1
9,Detroit,East,Central,82,103.8,103.9,-0.1,96.2,107.2,107.3,-0.1,-0.17,0,-0.27,14.6,-0.032,39,43,0.476,0.497,0.497,-0.021,W 1
10,Golden State,West,Pacific,82,113.5,107.5,6,99.6,113.7,107.7,6,-0.57,0,5.43,14.4,0.108,58,24,0.707,0.661,0.698,0.046,L 1
11,Houston,West,Southwest,82,112.3,103.9,8.4,97.6,114.7,106,8.7,-0.34,0,8.36,11.7,0.038,65,17,0.793,0.771,0.777,0.022,L 1
12,Indiana,East,Central,82,105.6,104.2,1.4,96,109.6,108.1,1.5,-0.52,0,0.98,14.2,-0.03,48,34,0.585,0.542,0.546,0.043,L 1
13,LA Clippers,West,Pacific,82,109,108.9,0.1,98.6,110.4,110.4,0,-0.31,0,-0.31,13.7,0.019,42,40,0.512,0.5,0.503,0.012,L 4
14,LA Lakers,West,Pacific,82,108.1,109.6,-1.5,100.3,106.5,108.1,-1.6,0.18,0,-1.42,13.4,0.022,35,47,0.427,0.452,0.451,-0.025,W 1
15,Memphis,West,Southwest,82,99.3,105.5,-6.2,94.9,104.5,111,-6.5,0.23,0,-6.27,11.6,-0.046,22,60,0.268,0.287,0.296,-0.019,L 2
16,Miami,East,Southeast,82,103.4,102.9,0.5,95.6,106.8,106.3,0.5,0.08,0,0.58,12.3,0.024,44,38,0.537,0.516,0.516,0.021,W 1
17,Milwaukee,East,Central,82,106.5,106.8,-0.3,96.2,109.8,110.1,-0.3,0.25,0,-0.05,12.6,-0.023,44,38,0.537,0.49,0.49,0.047,L 1
18,Minnesota,West,Northwest,82,109.5,107.3,2.2,96,113.4,111.1,2.3,-0.61,0,1.69,13,-0.052,47,35,0.573,0.57,0.572,0.003,W 3
19,New Orleans,West,Southwest,82,111.7,110.4,1.3,100.5,109.6,108.3,1.3,-0.56,0,0.74,11.9,0.041,48,34,0.585,0.544,0.543,0.041,W 5
20,New York,East,Atlantic,82,104.5,108,-3.5,96.8,107.1,110.7,-3.6,-0.35,0,-3.95,14.3,0,29,53,0.354,0.4,0.385,-0.046,W 1
21,Oklahoma City,West,Northwest,82,107.8,104.4,3.4,96.7,110.6,107.1,3.5,-0.72,0,2.78,14,-0.029,48,34,0.585,0.599,0.612,-0.014,W 3
22,Orlando,East,Southeast,82,103.4,108.2,-4.8,98,105.2,110.1,-4.9,0.33,0,-4.57,12.7,-0.024,25,57,0.305,0.349,0.342,-0.044,W 1
23,Philadelphia,East,Atlantic,82,109.8,105.3,4.5,99.8,109.5,105,4.5,0.66,0,5.16,12.7,0.097,52,30,0.634,0.638,0.648,-0.004,W 16
24,Phoenix,West,Pacific,82,103.9,113.3,-9.4,100.2,103.5,112.9,-9.4,0.23,0,-9.17,14.3,-0.035,21,61,0.256,0.256,0.19,0,W 1
25,Portland,West,Northwest,82,105.6,103,2.6,96.5,109.1,106.4,2.7,-0.43,0,2.27,13.3,0.026,49,33,0.598,0.581,0.586,0.017,W 1
26,Sacramento,West,Pacific,82,98.8,105.8,-7,94.9,103.7,111.1,-7.4,0.25,0,-7.15,12.6,-0.071,27,55,0.329,0.279,0.27,0.05,W 1
27,San Antonio,West,Southwest,82,102.7,99.8,2.9,95,107.9,104.8,3.1,-0.26,0,2.84,14.4,-0.005,47,35,0.573,0.585,0.595,-0.012,L 1
28,Toronto,East,Atlantic,82,111.6,103.9,7.7,97.3,113.8,105.9,7.9,-0.63,0,7.27,12.4,0.049,59,23,0.72,0.739,0.754,-0.019,L 1
29,Utah,West,Northwest,82,104.1,99.8,4.3,95.7,108.4,103.9,4.5,0.67,0,5.17,17.6,0.03,48,34,0.585,0.601,0.642,-0.016,L 1
30,Washington,East,Southeast,82,106.6,106,0.6,96.6,109.4,108.7,0.7,-0.56,0,0.14,14.5,0.003,43,39,0.524,0.519,0.52,0.005,L 1
