RANK,TEAM,CONF,DIVISION,GP,PTS/GM,aPTS/GM,PTS DIFF,PACE,OEFF,DEFF,EDIFF,SOS,rSOS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK,4-RT,4-RT,5-RT,5-RT,5-RT,5-RT,5-RT,5-RT,5-RT,5-RT,6-RT,6-RT,6-RT,6-RT,6-RT,6-RT,6-RT,6-RT,7-RT,7-RT,7-RT,7-RT,7-RT,7-RT,7-RT,7-RT
1,Atlanta,East,Southeast,82,113.3,119.4,-6.1,103.9,108.2,113.9,-5.7,0.64,0,-5.06,12.5,-0.005,29,53,0.354,0.325,0.299,0.029,L 3,O,U,GP,W,L,ED,+,-,O,U,GP,W,L,ED,+,-,O,U,GP,W,L,ED,+,-,O,U
2,Boston,East,Atlantic,82,112.4,108,4.4,99.6,112.3,107.8,4.5,-0.5,0,4,14.6,0.003,49,33,0.598,0.621,0.645,-0.023,W 1,0,0,1,0,1,-20.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brooklyn,East,Atlantic,82,112.2,112.3,-0.1,100.8,109.6,109.7,-0.1,0.06,0,-0.04,12.7,0.029,42,40,0.512,0.497,0.497,0.015,W 3,0,1,1,0,1,-4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charlotte,East,Southeast,82,110.7,111.8,-1.1,98.6,111.4,112.5,-1.1,-0.51,0,-1.61,16.2,-0.054,39,43,0.476,0.473,0.464,0.003,L 1,1,0,1,1,0,5.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chicago,East,Central,82,104.9,113.4,-8.5,99,104.8,113.2,-8.4,0.88,0,-7.52,14.4,-0.051,22,60,0.268,0.28,0.22,-0.012,L 3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Cleveland,East,Central,82,104.5,114.1,-9.6,96.6,107.7,117.6,-9.9,0.59,0,-9.31,13.9,-0.078,19,63,0.232,0.238,0.184,-0.006,L 10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dallas,West,Southwest,82,108.9,110.1,-1.2,99,109.4,110.7,-1.3,0.36,0,-0.94,14.3,0.009,33,49,0.402,0.464,0.46,-0.062,L 1,0,0,0,0,0,0,0,0,0,0,1,0,1,-2,1,0,1,0,0,0,0,0,0,0,0,0
8,Denver,West,Northwest,82,110.7,106.7,4,97.7,113,108.9,4.1,0.26,0,4.36,15,0.018,54,28,0.659,0.608,0.632,0.051,W 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Detroit,East,Central,82,107,107.3,-0.3,97.4,109,109.2,-0.2,-0.44,0,-0.64,14.2,-0.023,41,41,0.5,0.494,0.49,0.006,W 2,0,1,1,1,0,1.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Golden State,West,Pacific,82,117.7,111.2,6.5,100.8,116,109.6,6.4,-0.57,0,5.83,16.2,0.094,57,25,0.695,0.653,0.714,0.042,L 1,0,1,0,0,0,0,0,0,0,0,1,1,0,2.1,0,1,1,0,0,0,0,0,0,0,0,0
11,Houston,West,Southwest,82,113.9,109.1,4.8,97.8,115.6,110.7,4.9,0.13,0,5.03,14,0,53,29,0.646,0.637,0.658,0.009,L 1,1,0,2,1,1,-18.9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Indiana,East,Central,82,108,104.7,3.3,98.2,109.9,106.5,3.4,-1.47,0,1.93,15.6,-0.007,48,34,0.585,0.586,0.609,-0.001,W 1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,LA Clippers,West,Pacific,82,115.1,114.3,0.8,101.7,112.4,111.6,0.8,-0.13,0,0.67,14.3,0.033,48,34,0.585,0.522,0.526,0.063,W 1,0,0,3,2,1,-1.9,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,LA Lakers,West,Pacific,82,111.7,113.4,-1.7,103.1,107.8,109.4,-1.6,-0.25,0,-1.85,13.3,0.03,37,45,0.451,0.452,0.444,-0.001,L 1,1,0,1,1,0,15.7,1,0,0,1,1,0,1,-3,0,1,1,0,0,0,0,0,0,0,0,0
15,Memphis,West,Southwest,82,103.5,106.1,-2.6,96.6,106.1,108.8,-2.7,0.16,0,-2.54,12,-0.039,33,49,0.402,0.411,0.414,-0.009,W 1,0,1,2,0,2,-12.1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Miami,East,Southeast,82,105.7,105.9,-0.2,98.2,107.4,107.6,-0.2,0.07,0,-0.13,14.3,0.018,39,43,0.476,0.494,0.493,-0.018,L 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Milwaukee,East,Central,82,118.1,109.2,8.9,103.3,113.7,105.2,8.5,-1.07,0,7.43,11.9,0.079,60,22,0.732,0.763,0.793,-0.031,L 1,0,0,0,0,0,0,0,0,0,0,1,0,1,-4.6,0,1,1,0,0,0,0,0,0,0,0,0
18,Minnesota,West,Northwest,82,112.5,114,-1.5,100.1,111.5,113,-1.5,0.91,0,-0.59,13.9,-0.059,36,46,0.439,0.457,0.451,-0.018,L 3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,New Orleans,West,Southwest,82,115.4,116.8,-1.4,103.3,111.3,112.6,-1.3,0.35,0,-0.95,12.3,0.012,33,49,0.402,0.458,0.454,-0.056,L 1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,New York,East,Atlantic,82,104.6,113.8,-9.2,99.6,104.5,113.7,-9.2,0.74,0,-8.46,12,-0.058,17,65,0.207,0.221,0.197,-0.014,L 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Oklahoma City,West,Northwest,82,114.5,111.1,3.4,102.8,110.3,107.1,3.2,-0.52,0,2.68,11.4,-0.034,49,33,0.598,0.611,0.612,-0.013,W 5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Orlando,East,Southeast,82,107.3,106.6,0.7,98.1,108.9,108.2,0.7,-0.11,0,0.59,16,0.007,42,40,0.512,0.517,0.523,-0.005,W 4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Philadelphia,East,Atlantic,82,115.2,112.5,2.7,101.7,112.6,109.9,2.7,-0.19,0,2.51,14.1,0.061,51,31,0.622,0.576,0.589,0.046,W 1,3,0,0,0,0,0,0,0,0,0,1,1,0,25.5,1,0,0,1,0,0,0,0,0,0,0,0
24,Phoenix,West,Pacific,82,107.4,116.8,-9.4,100.5,105.8,115,-9.2,1.32,0,-7.88,12.9,-0.061,19,63,0.232,0.238,0.19,-0.006,L 2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Portland,West,Northwest,82,114.7,110.5,4.2,99.1,114.6,110.5,4.1,-0.09,0,4.01,13.6,0.044,53,29,0.646,0.618,0.638,0.028,W 3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Sacramento,West,Pacific,82,114.2,115.3,-1.1,103.1,110.5,111.6,-1.1,0.06,0,-1.04,12.7,-0.043,39,43,0.476,0.465,0.464,0.011,L 3,0,1,1,0,1,-14.1,0,1,0,1,1,1,0,22.9,1,0,0,1,0,0,0,0,0,0,0,0
27,San Antonio,West,Southwest,82,111.7,110,1.7,98.3,112.9,111.2,1.7,0.07,0,1.77,16.1,0.012,48,34,0.585,0.542,0.556,0.043,W 3,2,2,1,1,0,3.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Toronto,East,Atlantic,82,114.4,108.4,6,100.1,113.2,107.2,6,-0.94,0,5.06,13,0.043,58,24,0.707,0.678,0.698,0.029,W 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Utah,West,Northwest,82,111.7,106.4,5.3,100.3,110.9,105.7,5.2,-0.87,0,4.33,16.3,0.069,50,32,0.61,0.625,0.675,-0.015,L 1,0,0,2,1,1,0.9,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Washington,East,Southeast,82,114,116.9,-2.9,101.4,111.1,113.9,-2.8,-0.02,0,-2.82,11.8,-0.054,32,50,0.39,0.406,0.405,-0.016,L 4,1,0,1,0,1,-8.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Washington,7,1,6,-4.1,3,4,6,1,3,1,2,2.6,3,0,3,0,4,0,4,-23.1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TOTAL,132,55,77,-0.9,63,69,65,67,61,26,35,-3.2,29,32,35,26,48,18,30,-4.4,23,25,21,27,17,8,9,-5.1,8,9,5,12,6,3,3,6.8,3,3,4,2,0,0,0,,0,0,0,0
